C:\Users\stick\AppData\Local\Packages\PythonSoftwareFoundation.Python.3.10_qbz5n2kfra8p0\LocalCache\local-packages\Python310\site-packages\stable_baselines3\common\buffers.py:229: UserWarning: This system does not have apparently enough memory to store the complete replay buffer 28.24GB > 4.49GB
  warnings.warn(
SPS: 125
global_step=98593, episodic_return=-6700.0
SPS: 124
SPS: 124
global_step=98777, episodic_return=-1500.0
SPS: 124
SPS: 124
global_step=98962, episodic_return=-8600.0
SPS: 124
SPS: 124
global_step=99140, episodic_return=-5900.0
SPS: 123
SPS: 123
global_step=99324, episodic_return=-7300.0
SPS: 123
SPS: 123
global_step=99507, episodic_return=-6900.0
SPS: 123
global_step=99685, episodic_return=-12400.0
SPS: 123
SPS: 123
global_step=99869, episodic_return=-6100.0
SPS: 122
SPS: 122
global_step=100053, episodic_return=-2100.0
SPS: 122
SPS: 122
global_step=100237, episodic_return=-3000.0
SPS: 122
SPS: 122
global_step=100415, episodic_return=-8400.0
SPS: 122
global_step=100594, episodic_return=-2100.0
SPS: 121
SPS: 121
global_step=100773, episodic_return=-1800.0
SPS: 121
SPS: 121
global_step=100951, episodic_return=-5600.0
SPS: 121
SPS: 121
global_step=101135, episodic_return=-3900.0
SPS: 120
SPS: 120
global_step=101316, episodic_return=-9800.0
SPS: 120
global_step=101497, episodic_return=-5900.0
SPS: 120
SPS: 120
global_step=101682, episodic_return=-5000.0
SPS: 120
SPS: 120
global_step=101862, episodic_return=-2700.0
SPS: 120
SPS: 119
global_step=102043, episodic_return=-2700.0
SPS: 119
SPS: 119
global_step=102222, episodic_return=-1200.0
SPS: 119
SPS: 119
global_step=102405, episodic_return=-2100.0
SPS: 119
global_step=102590, episodic_return=-10700.0
SPS: 119
SPS: 119
global_step=102774, episodic_return=-3000.0
SPS: 119
SPS: 119
global_step=102957, episodic_return=-8600.0
SPS: 118
SPS: 118
global_step=103136, episodic_return=-8700.0
SPS: 118
SPS: 118
global_step=103318, episodic_return=-6900.0
SPS: 118
global_step=103499, episodic_return=-9500.0
SPS: 118
SPS: 118
global_step=103678, episodic_return=-3200.0
SPS: 118
SPS: 118
global_step=103860, episodic_return=-1800.0
SPS: 117
SPS: 117
global_step=104039, episodic_return=-5800.0
SPS: 117
SPS: 117
global_step=104219, episodic_return=-7800.0
SPS: 117
global_step=104400, episodic_return=-12500.0
SPS: 117
SPS: 117
global_step=104581, episodic_return=-4400.0
SPS: 117
SPS: 117
global_step=104764, episodic_return=-4700.0
SPS: 116
SPS: 116
global_step=104944, episodic_return=-3800.0
SPS: 116
SPS: 116
global_step=105125, episodic_return=-2600.0
SPS: 116
SPS: 116
global_step=105309, episodic_return=-1800.0
SPS: 116
global_step=105488, episodic_return=-23600.0
SPS: 116
SPS: 116
global_step=105670, episodic_return=-5600.0
SPS: 115
SPS: 115
global_step=105851, episodic_return=-1200.0
SPS: 115
SPS: 115
global_step=106033, episodic_return=-15800.0
SPS: 115
SPS: 115
global_step=106212, episodic_return=-600.0
SPS: 114
global_step=106393, episodic_return=-4400.0
SPS: 114
SPS: 114
global_step=106571, episodic_return=-3500.0
SPS: 114
SPS: 114
global_step=106751, episodic_return=-6400.0
SPS: 114
SPS: 114
global_step=106931, episodic_return=-4600.0
SPS: 114
SPS: 114
global_step=107115, episodic_return=9900.0
SPS: 114
global_step=107299, episodic_return=-900.0
SPS: 113
